debate_id,title,sector_label,confidence,predicted,max_predicted_proba,is_correct,error_type,review_flag
D094,Data on Food Poisoning Cases in Preschools under Anchor and Partner Operator Schemes and Private Operators over Last Nine Months,Education,MEDIUM,Social & Family Policy,0.159987605507277,False,Misclassified,Needs Review
D095,Data on Individuals Who Have Left Workforce Due To Caregiving Responsibilities and Long-term Financial Impact of Caregiving-related Unemployment,Labour & Workforce,HIGH,Social & Family Policy,0.23735370728933475,False,Misclassified,Auto-label OK
D096,Disciplinary Actions and Improvement Measures Taken Following PUB Document Falsification Incident,Environment,HIGH,Environment,0.18969466356465098,True,Correct,Auto-label OK
D097,Operational Protocols to Safeguard Local Healthcare Workers in Light of Overseas Nipah Virus Infections,Healthcare,HIGH,Healthcare,0.2555111519883557,True,Correct,Auto-label OK
D098,Regulation on Freelance Confinement Nannies Working in Singapore Without an Employment Agency Contract,Labour & Workforce,HIGH,Labour & Workforce,0.3203840846747415,True,Correct,Auto-label OK
D099,Extending Age Limit for PHV Driver's Licence to Beyond 75 Years,Transport,MEDIUM,Transport,0.16245252234708055,True,Correct,Auto-label OK
D100,Monitoring of Cases and Actions Taken against Errant Insurance Companies Preventing Legitimate Claims,Financial Services,HIGH,Financial Services,0.28429186465607026,True,Correct,Auto-label OK
D101,Emergency Evacuation Protocols for High-rise Fires Involving Seniors or Residents with Mobility Impairments,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.21304742389182826,True,Correct,Auto-label OK
D102,Plans for Onboarding Traditional Chinese Medicine Practitioners to National Electronic Health Record,Healthcare,HIGH,Healthcare,0.3061557900600951,True,Correct,Auto-label OK
D103,Breakdown of BTO and Sales of Balance Flats by Applicant Category over Past 10 Years,Housing & Property,HIGH,Housing & Property,0.31884632542927716,True,Correct,Auto-label OK
D104,Impact of Rise of AI on Gender Employment Gap,Labour & Workforce,HIGH,Labour & Workforce,0.23707671391980373,True,Correct,Auto-label OK
D105,e2i’s Effectiveness in Supporting Retrenched Persons with Placement and Wage Matters,Labour & Workforce,HIGH,Labour & Workforce,0.28172763842527526,True,Correct,Auto-label OK
D106,Individuals Who Exceed Eligibility Criteria for Silver Support Scheme Based on Household Income Per Capita,Social & Family Policy,HIGH,Social & Family Policy,0.34709578219108944,True,Correct,Auto-label OK
D107,Usage Statistics of AEDs in HDB Towns and Plans for Expansion to Private Developments,Defence & Home Affairs,MEDIUM,Housing & Property,0.21629846777349931,False,Misclassified,Auto-label OK
D108,Impact of Increased Volatility in GIC's Returns on Interest Rates of Special Singapore Government Securities,Financial Services,HIGH,Social & Family Policy,0.17566758560485357,False,Misclassified,Auto-label OK
D109,Discrepancy between Amount Budgeted for Voucher Schemes and Actual Amount Disbursed,Social & Family Policy,HIGH,Social & Family Policy,0.1573450043392986,True,Correct,Needs Review
D110,Inclusion of Expected Child in Calculation of Per Capita Income for Determining Rental Rates under Parenthood Provisional Housing Scheme,Housing & Property,MEDIUM,Social & Family Policy,0.169417426525347,False,Misclassified,Auto-label OK
D111,Migrant Domestic Workers Fined for Illegal Moonlighting and Take-up Rate of Household Services Scheme,Labour & Workforce,HIGH,Labour & Workforce,0.2695531114069604,True,Correct,Auto-label OK
D112,Statistics on Private Property Purchases by Permanent Residents and Impact of Such Purchases on Housing Prices,Housing & Property,HIGH,Housing & Property,0.17326722787496965,True,Correct,Auto-label OK
D113,Tiered Foreign Manpower and Levy Thresholds for Hawkers and Small F&B Operators,Labour & Workforce,HIGH,Labour & Workforce,0.18413055644857468,True,Correct,Auto-label OK
D114,Existing Limits and Proposed Standards for Regulation of Emergency Vehicle Siren Noise Levels,Transport,HIGH,Transport,0.16454867547304483,True,Correct,Auto-label OK
D115,Assessment of Traffic Noise Exposure in Residential Areas and Plans to Mitigate Long-Term Impacts of Environmental Noise on Residents,Environment,HIGH,Environment,0.23959879331433073,True,Correct,Auto-label OK
D116,Appeals Received for Silver Support Scheme and Publicity Effort to Raise Awareness for Scheme's Intentions,Social & Family Policy,HIGH,Social & Family Policy,0.25601043970955883,True,Correct,Auto-label OK
D117,Takedown of Self-harm and Suicidal Content on Social Media Channels,Digital Economy & Tech,HIGH,Digital Economy & Tech,0.3628014431280541,True,Correct,Auto-label OK
D118,Ensuring Residential Liveability Near Expressways and MRT Corridors in Long-term Transport Expansion Plans,Transport,HIGH,Transport,0.2854231187250672,True,Correct,Auto-label OK
D119,Differentiating Validity Periods of HDB Flat Eligibility (HFE) System and Enhancing HFE Letter with Personalised Information and Resources,Housing & Property,HIGH,Housing & Property,0.3518191316603767,True,Correct,Auto-label OK
D120,Installation of One Fire Extinguisher at Lift Lobby of Every Two HDB Blocks,Housing & Property,HIGH,Housing & Property,0.2630716480862763,True,Correct,Auto-label OK
D121,Guidelines for Pickleball Play in HDB Public Courts Given Its Rising Popularity and Potential Noise Disamenities,Housing & Property,HIGH,Housing & Property,0.26263774430347225,True,Correct,Auto-label OK
D122,Impact of Rising Healthcare and Daily Living Costs on Retirement Adequacy,Social & Family Policy,HIGH,Social & Family Policy,0.36658686981652483,True,Correct,Auto-label OK
D123,Statistics on Beds for Homeless within Shelters and Measures to Support Transition into Long-term Residences,Social & Family Policy,HIGH,Social & Family Policy,0.1751424682035611,True,Correct,Auto-label OK
D124,Supporting Severe Hoarding Cases with Referrals to Relevant Healthcare Such As Cognitive Behavioural Therapy,Social & Family Policy,MEDIUM,Healthcare,0.19401413645225027,False,Misclassified,Auto-label OK
D125,Verifying that Subsidised Courses for Licensed Professions are Aligned with Prerequisite Qualifications,Education,HIGH,Education,0.17047321887785966,True,Correct,Auto-label OK
D126,Reviewing Merchant Eligibility Criteria of CDC Voucher Scheme to Ensure Fairness for Small Businesses,Social & Family Policy,HIGH,Social & Family Policy,0.19352534666813903,True,Correct,Auto-label OK
D127,Benefits from Strategic Food Partnership with New Zealand for Singaporeans and Local Businesses,Environment,HIGH,Environment,0.35015432641609295,True,Correct,Auto-label OK
D128,Increasing Public Transport Vouchers for Lower-income Households to Defray Recent Fare Hike,Transport,HIGH,Transport,0.16370427126906392,True,Correct,Auto-label OK
D129,Enhancing Accountability Measures for Errant Assisted Mobility Device Users Involved in Fire Incidents,Transport,HIGH,Transport,0.22378578135841595,True,Correct,Auto-label OK
D130,Data on Mental Health History of Arrested Drug Abusers and Breakdown of First-time Drug Abusers with Prior Diagnosis of Mental Health Disorders since 2021,Defence & Home Affairs,MEDIUM,Healthcare,0.23848454449004786,False,Misclassified,Auto-label OK
D131,Evaluation of Major Train Delay on North-South Line and Frequency of Similar Train Faults in Past Three Years,Transport,HIGH,Transport,0.18155581152017844,True,Correct,Auto-label OK
D132,Studying Correlation between Lower-income Households and Diet-related Chronic Diseases,Healthcare,HIGH,Healthcare,0.3211029212662843,True,Correct,Auto-label OK
D133,Unpaid Medical Bills Incurred by Work Permit and S Pass Holders in Public Healthcare Institutions,Labour & Workforce,HIGH,Labour & Workforce,0.19437919124847633,True,Correct,Auto-label OK
D134,Piloting Installation of Fire-rated Outdoor Charging Cabinets within Communal Facilities for PMDs,Other / Cross-cutting,LOW,Housing & Property,0.1633673662103536,False,Misclassified,Auto-label OK
D135,Usage of CPF Savings to Fund Children's Overseas Tertiary Education,Education,MEDIUM,Education,0.21984389139783767,True,Correct,Auto-label OK
D136,Formal Accreditation or Integration of GRaduate Industry Traineeship Programme with Existing Academic Programmes at IHLs,Labour & Workforce,LOW,Labour & Workforce,0.17981457654203697,True,Correct,Auto-label OK
D137,Improving Accessibility for Seniors Commuting between Hougang Avenue 5 and Hougang Polyclinic by Adjusting Bus Routes,Transport,HIGH,Transport,0.2942513463788897,True,Correct,Auto-label OK
D138,Preventing Spill-over Effects of Unsustainable Private Insurance Practices into Public Hospital Charges and Keeping Premiums Affordable,Healthcare,HIGH,Healthcare,0.350028959946561,True,Correct,Auto-label OK
D139,Average Waiting Time for Late-stage Cancer Patients to Commence Chemotherapy in Public Hospitals,Healthcare,HIGH,Healthcare,0.22262542883813327,True,Correct,Auto-label OK
D140,Reducing Breast Cancer Screening Age Limit for Early Detection and Subsidies for Women under 50,Healthcare,HIGH,Healthcare,0.2567947245329064,True,Correct,Auto-label OK
D141,Awareness of Community Relations Unit in Handling Neighbour Disputes and Preventing Noise-related Disputes through New BTO Housing Design,Housing & Property,HIGH,Housing & Property,0.2669164299584591,True,Correct,Auto-label OK
D142,Sufficiency of Public Sports Facilities for Kolam Ayer and Jalan Besar Residents Following Closure of Nearby Sports Centres,Housing & Property,HIGH,Other / Cross-cutting,0.12893870114415368,False,Misclassified,Needs Review
D143,Use of AI Chatbots for Counselling and Mental Health Support by Teenagers and Young Adults,Digital Economy & Tech,MEDIUM,Healthcare,0.21955735532984616,False,Misclassified,Auto-label OK
D144,Establishing Government-operated Adult Disability Homes and Day Activity Centres to Complement Social Service Agency-run Ones,Social & Family Policy,HIGH,Social & Family Policy,0.16315377832450711,True,Correct,Auto-label OK
D145,Measures to Diversify Food Imports and Moderate Food Prices in View of Volatile Global Food Prices,Environment,HIGH,Environment,0.3666582650847128,True,Correct,Auto-label OK
D146,Transport Sector (Miscellaneous Amendments) Bill,Transport,HIGH,Transport,0.45483676947800666,True,Correct,Auto-label OK
D147,Supporting Home Hospice Services,Healthcare,HIGH,Healthcare,0.24693162438481947,True,Correct,Auto-label OK
D148,Review of HDB's Current Homeowner Insurance Coverage,Housing & Property,HIGH,Housing & Property,0.3063447109272379,True,Correct,Auto-label OK
D149,"Number, Profile and Success Rate of Applications for SkillsFuture Jobseeker Support Scheme",Labour & Workforce,HIGH,Labour & Workforce,0.14350818753448608,True,Correct,Needs Review
D150,Proposal for One Budget Meal Option Per Hawker Stall at Centres Managed by NEA and Town Councils,Environment,HIGH,Environment,0.22118049713634283,True,Correct,Auto-label OK
D151,Protection for Employees and Whistle-blowers during Workplace Bullying Investigations,Labour & Workforce,HIGH,Labour & Workforce,0.22880094988473215,True,Correct,Auto-label OK
D152,Affordability of Utility Bills for Singaporeans Given Rising Energy Costs and Push Towards Green Energy Alternatives,Environment,HIGH,Environment,0.172948369735311,True,Correct,Auto-label OK
D153,Regulatory Measures against Systematic Base Fare Cuts by Platform Companies after Implementation of CPF Contribution Scheme,Labour & Workforce,HIGH,Labour & Workforce,0.28450384181494975,True,Correct,Auto-label OK
D154,"Implementation of Differentiated, Age-tiered Payout Ratios under Workfare Income Supplement Scheme",Labour & Workforce,HIGH,Social & Family Policy,0.2506716948795297,False,Misclassified,Auto-label OK
D155,Data on Physical and Mental Health of Caregivers,Healthcare,HIGH,Healthcare,0.3674592575183356,True,Correct,Auto-label OK
D156,Excessive Price Pass-through to Essential Goods from Global Supply Chain Disruptions and Rising Rentals,Social & Family Policy,HIGH,Other / Cross-cutting,0.16032529422754593,False,Misclassified,Auto-label OK
D157,Data on School Bus Fares for Primary School Children and Ensuring Affordability of Fares,Education,HIGH,Transport,0.28385199189857857,False,Misclassified,Auto-label OK
D158,"Clarification by Minister, Prime Minister's Office",Education,HIGH,Education,0.13743286395181206,True,Correct,Needs Review
D159,Successful Applicants of Phase 2B with No Prior School Affiliation and Proportion of Children of Alumni,Education,HIGH,Education,0.3073672193686351,True,Correct,Auto-label OK
D160,Further Professionalising Bus Captain Roles to Attract Younger Singaporeans,Transport,HIGH,Transport,0.44326457630950256,True,Correct,Auto-label OK
D161,Evaluating Platform Delivery Work-Related Risks and Code of Practice for Platform Service to Ensure Riders' Safety,Labour & Workforce,HIGH,Labour & Workforce,0.2893519342716155,True,Correct,Auto-label OK
D162,Connectivity Dead-zones and Weak Signal Strength in Bidadari Estate in Past Five Years and Measures to Address Connectivity Gaps,Digital Economy & Tech,LOW,Digital Economy & Tech,0.12378608769101158,True,Correct,Needs Review
D163,Electric Vehicle Training for Bus Captains,Transport,HIGH,Transport,0.5067196363658928,True,Correct,Auto-label OK
D164,Construction Status and Expected Completion for Tampines North Integrated Transport Hub,Transport,HIGH,Transport,0.21299662702593794,True,Correct,Auto-label OK
D165,Lowering Speed Limit for Bicycles on Shared Paths to Enhance Safety,Transport,HIGH,Transport,0.27390511104147464,True,Correct,Auto-label OK
D166,Number of Migrant Domestic Workers with Caregiving Responsibilities at Secondary Residential Address,Labour & Workforce,HIGH,Labour & Workforce,0.2511639735121408,True,Correct,Auto-label OK
D167,Providing Stronger Incentives and Safeguards for Schools to Open Facilities for Community Use,Education,HIGH,Education,0.26138564813153375,True,Correct,Auto-label OK
D168,Development of Assistive Technology for Visually Impaired Public Transport Users,Transport,HIGH,Transport,0.4376429840034944,True,Correct,Auto-label OK
D169,Safeguards for Employees whose Organisations Enforce Work-in-office Arrangements,Labour & Workforce,HIGH,Labour & Workforce,0.2277589519150505,True,Correct,Auto-label OK
