debate_id,title,turn1,turn2,actual,confidence,predicted
D055,Possible Amendment of Prevention of Corruption Act to Prevent Liability Evasion by Senior Management of Large Corporations,"asked the Prime Minister and Minister for Finance whether, following Public Prosecutor v China Railway Tunnel Group, the Government will amend the Prevention of Corruption Act to (i) broaden the legal test for corporate attribution beyond the ""directing mind and will"" doctrine in common law or (ii) introduce a ""failure to prevent"" offence similar to the UK Bribery Act, ensuring large corporations cannot evade liability for corruption by senior management.","The Prevention of Corruption Act is a key instrument in our fight against corruption. The Corrupt Practices Investigation Bureau ( CPIB) regularly and proactively reviews the Act. This is to ensure that our laws remain robust and effective against the ever-evolving corruption threat. CPIB is looking into potential legislative gaps associated to the case cited by the Member in his query. If there is a need to come back to Parliament, we will do so.",Labour & Workforce,MEDIUM,Social & Family Policy
D058,Strengthening SCDF's Emergency Response Capabilities and Enhancing Community Engagement for Fire Outbreaks,"asked the Coordinating Minister for National Security and Minister for Home Affairs with the recent increase in fire outbreaks, how will SCDF strengthen its capabilities in emergency response and enhance community engagement by introducing some basic fire fighting devices within the community.","The Singapore Civil Defence Force (SCDF) conducts regular outreach to equip residents with the capabilities to deal with fires. Through the SCDF's Responder Plus Programme, residents are offered free hands-on training on the use of fire extinguishers, CPR and AEDs. These emergency preparedness skills are also publicised as part of the SGSecure national movement. In addition, the SCDF and the People's Association's Community Emergency and Engagement Committees continue to regularly conduct block evacuation exercises. Under a joint initiative with Temasek Foundation, the Housing and Development Board (HDB) and Town Councils, SCDF has progressively installed fire extinguishers at Lifesavers’ Emergency Points (LEPs) since October 2023. These fire extinguishers are co-located with existing automated external defibrillators at the lift lobbies of one in every two residential HDB blocks. To date, more than 5,000 LEPs have been set up, which is more than 90% of all targeted HDB blocks. We aim to complete the roll-out by 2028.",Defence & Home Affairs,HIGH,Housing & Property
D061,"Electric Vehicle Charging Rates at HDB and Private Car Parks, and Impact of Mandating Dual-operators",asked the Acting Minister for Transport (a) what is the median cost per kWh for EV charging in HDB carparks as compared to private commercial carparks; (b) what percentage of evaluation score is based on the operator’s proposed charging price in tenders for charging points in HDB carparks; and (c) whether the Ministry has studied the potential cost-reduction impact of mandating dual-operators in high-demand carparks.,"Charging prices vary depending on operator, location and charger power rating. The median Electric Vehicle (EV) charging price is $0.66/kWh for Housing and Development Board (HDB) carparks and $0.74/kWh for private commercial carparks. Charging prices are commercial decisions. Tenders were evaluated on a price-quality framework where we weight quality more than price. Operators do not have exclusive rights to operate in HDB carparks; the Land Transport Authority may call a tender to install more EV chargers in future.",Transport,HIGH,Housing & Property
D069,Time Limit for Senior Minister of State's Speech,"Mr Speaker, may I seek your consent and the general assent of Members present to move that proceedings on the item under discussion be exempted on the provisions of Standing Order No 48(8) to remove the time limit in respect of Senior Minister of State Tan Kiat How's speech, please?",,Other / Cross-cutting,LOW,Labour & Workforce
D075,More Support for Workplace Leaders and Managers to Develop Competencies in Workplace Mental Well-being,"asked the Minister for Manpower whether more can be done to encourage employers to adopt workplace policies or initiatives that equip workplace leaders and managers with competencies in self-care, stress resilience and mental health awareness, given the influence these leaders and managers have on workplace culture and mental health norms.","The Ministry of Manpower (MOM) recognises the vital role of leaders and managers in shaping a workplace culture that supports mental well-being. MOM has worked with the Workplace Safety and Health (WSH) Council to develop and promote initiatives that are targeted at building workplace leaders' competencies in supporting their own mental well-being, and that of their organisations and teams. One such initiative is the Handbook on Supporting Employees' Mental Health. Launched recently by the WSH Council, the Handbook includes guidance for senior management and supervisors to undergo training to strengthen their competencies in areas, such as increasing mental health awareness and practising self-care. Another initiative is the Well-Being Champions Network, a community of practice for workplace leaders to share ideas on mental health awareness and management, which has grown from 54 founding member organisations in 2023 to 800 today. The WSH Council's outreach to industry, together with that of tripartite partners, has helped to encourage employers' adoption of these initiatives. MOM and the WSH Council will continue to encourage employers to participate in relevant programmes for workplace leaders and managers.",Labour & Workforce,MEDIUM,Healthcare
D076,Take-up Rate for Physical CDC Vouchers and Reasons for Cessation of Physical Vouchers Issuance,"asked the Acting Minister for Culture, Community and Youth (a) whether physical voucher uptake rates were considered before ceasing issuance of notification letters for May 2025 CDC vouchers; (b) what are the redemption rates disaggregated by age and redemption channels for current and previous tranches in the first (i) week (ii) month of roll-outs; and (c) whether opt-in paper-vouchers options that carry over to future tranches will be considered.","I am answering in my capacity as the Minister charged with the responsibility for the People's Association. The Community Development Council (CDC) Vouchers Scheme aims to help Singaporean households cope with the cost of living and support hawkers and heartland merchants. Over the years, the CDCs have received feedback from residents asking why there was a need for notification letters. Upon review of achieving a consistent high claim rates for CDC vouchers since 2021, averaging about 97% in the past tranches, and in support of environmental sustainability, the CDCs decided to stop sending notification letters from the seventh CDC vouchers tranche onwards, that is, from the May 2025 tranche, after much deliberation. While there were no notification letters for the May 2025 tranche, the CDCs continued to create public awareness by publicising through various platforms, such as media announcements, newspaper advertisements, social media channels, street banners, digital display panels at lift landings, CDC Vouchers Website and also community posters to guide residents on how to claim and spend their vouchers. Singaporeans who have difficulties with the digital claim process could also seek help at all community centres or community clubs and SG Digital Community Hubs. This assistance to the digitally-less savvy Singaporeans remains unchanged. In fact, even without the notification letters, the claim rate for the May 2025 tranche remains comparable to the other tranches. This high claim rate is a testimony that Singaporeans are already familiar and comfortable with the claim process. As for the suggestion to roll-over the vouchers to future tranches, we would like to reiterate that the CDC vouchers are meant to help Singaporeans with their daily expenses. If Singaporeans do not need the vouchers, they can donate the balance vouchers to their preferred Institutions of a Public Character charity.",Social & Family Policy,HIGH,Other / Cross-cutting
D077,Old Voting District Reflected with Change of Physical Identity Card,asked the Prime Minister and Minister for Finance why does a change of the physical NRIC effected after the cut-off date for the inspection of voter rolls result in a reversion of the voting district to the old district.,"A change in the personal particulars of a voter's National Registration Identity Card does not automatically result in a change in the constituency where the voter is registered to vote. Instead, voter addresses are updated from time to time via an exercise to revise the Registers of Electors (REs), based on the Government's records as of a date prescribed in legislation. The current date for voters who are eligible to be included in the REs for an election is 1 February 2025. This approach balances the need to safeguard the integrity of voter rolls and to ensure that the REs used for an election are updated, while providing certainty to prospective candidates on the number of Singaporeans who are qualified to vote at the election in each constituency.",Defence & Home Affairs,MEDIUM,Financial Services
D081,Tracking of Food Insecurity Prevalence in Singapore,"asked the Minister for Social and Family Development (a) whether the Ministry tracks the prevalence of moderate to severe food insecurity in Singapore using the Food Insecurity Experience Scale or an equivalent metric; (b) if so, what is the trend over the last five years; and (c) if not, how is food insecurity officially quantified.","The Ministry of Social and Family Development (MSF) does not systematically track the prevalence of food insecurity in Singapore. There are some occasional global publications, such as the Food Insecurity Experience Scale by the Food and Agriculture Organization. The measured levels for Singapore are comparable to those of high-income economies, although like the experience of other economies, there has been an increase in recent years. Our approach is to ensure the availability of financial support if households are in need. Social Service Offices (SSOs) provide ComCare assistance to support families to meet basic living needs, including food-related expenditures. SSOs may also link applicants up with other forms of support, including those that do not qualify for ComCare. There are also efforts by food charities, volunteer groups, grassroots organisations and corporates to provide food support to households in need. That said, MSF regularly reviews the range of measurements it tracks, in order to better identify needs and groups that need more support. We will include food security as one of the possible areas to consider for more systematic measurement.",Social & Family Policy,HIGH,Environment
D085,"Capture of Data Based on Retiree, Disabled Persons and Single-parent Households, and on Housing Categories Despite Change in Government's Income Trends Report","asked the Deputy Prime Minister and Minister for Trade and Industry regarding changes to the Government's annual household income trends report (a) whether disaggregated market income statistics can be provided by households with retirees, disabled persons, single-parent households and different housing categories; (b) whether the widened scope of analysis to cover all resident households will lead to vulnerable groups being statistically obscured; and (c) if so, what safeguards are there to prevent this.","The changes to the Key Household Income Trends report were made partly in response to Singapore's changing demographics. With our ageing population, there is a growing proportion of retiree households who do not have employment income, but may have income from non-employment sources, such as annuities including from CPF, rental, investments and regular allowances from their children. Expanding the household income definition and household coverage thus ensures a more complete representation of resident households and their income trends. Notably, the report now covers resident households comprising solely of non-employed persons aged 65 and over. This accounted for 49.3% of residents in the lowest income decile. The inclusion of these retiree households enables the Government to better understand the financial resources available to them and provide targeted support where necessary. Disaggregated household market income data for retiree households comprising solely of non-employed persons aged 65 and over is available and published on Department of Statistics' website. However, market income data for lone-parent households and households with at least one member with difficulty performing basic activities are not available annually but are reported in the Census and General Household Survey conducted every five years.",Housing & Property,HIGH,Digital Economy & Tech
D088,Tackling Food Safety Incidence at Schools and Institutes of Higher Learning,asked the Minister for Education regarding canteen stalls at schools and Institutes of Higher Learning (a) whether there has been a trend of increasing hygiene or food safety quality problems since 2022; (b) how often are the stalls inspected for adherence to hygiene practices; and (c) what are the lessons that can be learnt from recent incidents to prevent mass food poisoning problems.,"Canteens and stall licensees in schools and Institutes of Higher Learning (IHLs) are required to comply with the Singapore Food Agency's (SFA) regulatory requirements to uphold strict hygiene protocols and food safety standards. For example, all food handlers are required to have the necessary certifications and maintain the cleanliness of canteen premises. Premises with track records of past infringements and feedback on food safety-related issues are subject to stepped-up surveillance by SFA. Food safety incidents in school and IHL canteens have been isolated and well contained. When an incident occurs, swift interventions are taken. This includes ensuring affected students receive medical support where necessary, notifying SFA and the Ministry of Health for investigations, and seeking the help of parents and guardians to monitor their children's health and well-being.",Education,HIGH,Environment
D094,Data on Food Poisoning Cases in Preschools under Anchor and Partner Operator Schemes and Private Operators over Last Nine Months,"asked the Minister for Social and Family Development over the last nine months, what is the breakdown of the number of food poisoning cases in preschools that are operated (i) under the Anchor Operator Scheme, (ii) under the Partner Operator Scheme and (iii) privately.","There have been eight investigations conducted into gastroenteritis outbreaks in preschools in the past nine months, which may be viral or foodborne. The Early Childhood Development Agency does not monitor the number of food poisoning cases by scheme. All preschools, regardless of schemes, must adhere to health and hygiene requirements specified in the Early Childhood Development Centres Regulations and Code of Practice. This includes disinfection of contaminated surfaces and monitoring of symptoms in the event of suspected or known gastroenteritis cases. This helps to safeguard children's health and limit the impact of a gastroenteritis outbreak in preschools.",Education,MEDIUM,Social & Family Policy
D095,Data on Individuals Who Have Left Workforce Due To Caregiving Responsibilities and Long-term Financial Impact of Caregiving-related Unemployment,asked the Minister for Manpower (a) what are the latest figures on caregivers who have left the workforce due to caregiving responsibilities; (b) what proportion are first-time caregivers and what are their demographic profiles; and (c) whether the Ministry has studied the long-term financial impact of caregiving-related unemployment.,"In 2024, there were around 87,100 residents outside the labour force due to caregiving reasons. Among them, 20.9% were below 40 years of age, 25.1% were aged 40-49, 20.5% were aged 50-59 and 33.4% were aged 60 and above 1 . Most caregivers outside the labour force were women (85.7%). We do not have data on the number of first-time caregivers. We recognise the importance of addressing the long-term financial impact of caregiving-related unemployment. There are various Government interventions to help caregivers mitigate such impact. For example, caregivers who wish to re-enter the workforce can tap on employment facilitation and reskilling initiatives under SkillsFuture and Workforce Singapore (WSG) to improve their employability. This includes WSG's Career Conversion Programmes, Mid-Career Pathways Programme and the SkillsFuture Level-Up Programme. Working caregivers may also be eligible for the Workfare Income Supplement, which supplements eligible lower-wage workers' income and retirement savings. Eligible caregivers who are seniors can also benefit from additional support measures that supplement their retirement income and Central Provident Fund savings. In this regard, the Silver Support Scheme and Matched Retirement Savings Scheme were enhanced from January 2025, while the Majulah Package for seniors born in 1973 or earlier provided an additional boost to eligible seniors' retirement and healthcare adequacy, including those with caregiving duties. Flexible work arrangements (FWAs) can help caregivers manage caregiving responsibilities and career aspirations. The Tripartite Guidelines on FWA Requests, which took effect in December last year, helps employers and caregivers navigate discussions about FWAs to arrive at mutually beneficial arrangements.",Labour & Workforce,HIGH,Social & Family Policy
D107,Usage Statistics of AEDs in HDB Towns and Plans for Expansion to Private Developments,"asked the Coordinating Minister for National Security and Minister for Home Affairs (a) since their installation, how many automated external defibrillators (AEDs) located in Housing and Development Board towns have been used to assist individuals suffering from medical conditions; and (b) whether there are plans to expand the availability of AEDs to private developments.","The Save-a-Life initiative was launched in August 2015 with the aim of installing one automated external defibrillators (AED) at the lift lobby of every two Housing and Development Board (HDB) blocks across Singapore. By end-2025, over 5,000 AEDs had been deployed under this programme. These AEDs have been used more than 4,500 times. The Singapore Civil Defence Force (SCDF) partners with community partners and Residents' Networks on the installation of AEDs in private residential developments, including landed estates and condominiums. SCDF is also working with the Singapore Heart Foundation to maintain a registry for all publicly accessible AEDs, engage businesses to install AEDs on their premises, and encourage registration of these devices on the national registry.",Defence & Home Affairs,MEDIUM,Housing & Property
D108,Impact of Increased Volatility in GIC's Returns on Interest Rates of Special Singapore Government Securities,"asked the Prime Minister and Minister for Finance (a) whether the drop in GIC's 20-year annualised real returns and the expected increase in volatility in GIC's returns over the next decade is expected to impact the interest rate of the Special Singapore Government Securities issued by the Government to the CPF Board; and (b) if not, why not.",Interest rates of the Special Singapore Government Securities (SSGS) are based on the Central Provident Fund (CPF) interest rates and are independent of GIC's returns. The CPF Board invests CPF savings entirely in risk-free SSGS issued by the Government. The Government then invests SSGS proceeds together with its other assets through GIC. The Government guarantees CPF savings and pays the SSGS interest rates to CPF Board regardless of GIC's returns over any period. The Government is able to do so because it pursues a prudent fiscal policy that enables a healthy buffer of net assets which allows it to absorb risks across market cycles.,Financial Services,HIGH,Social & Family Policy
D110,Inclusion of Expected Child in Calculation of Per Capita Income for Determining Rental Rates under Parenthood Provisional Housing Scheme,asked the Minister for National Development whether the Ministry can consider including an expected child who is past 24 weeks in gestational age in the calculation of the per capita income (PCI) for the purpose of determining rental rates under the Parenthood Provisional Housing Scheme in recognition of upcoming financial responsibilities associated with childbirth and caring for an infant.,"The Parenthood Provisional Housing Scheme (PPHS) offers a subsidised housing option for eligible families, including expectant parents, while they are awaiting completion of their new Housing and Development Board flat. A monthly household income ceiling of $7,000 was implemented in August 2021 to target support at families who are less able to afford renting on the open market. PPHS rents are not differentiated based on per capita income.",Housing & Property,MEDIUM,Social & Family Policy
D124,Supporting Severe Hoarding Cases with Referrals to Relevant Healthcare Such As Cognitive Behavioural Therapy,asked the Minister for National Development (a) how are severe hoarding cases on the Government's watchlist being supported through cross-agency efforts including referral pathways to healthcare interventions such as cognitive behavioural therapy; and (b) whether there are plans to strengthen such linkages for affected individuals and their families.,"Earlier this year, the Ministry of National Development, Ministry of Social and Family Development and partners from the public, private and people sectors came together to form an Alliance for Action (AfA), called the New Environment Action Team (NEAT). NEAT members include the Institute of Mental Health (IMH), the Agency for Integrated Care (AIC) and frontline agencies trained to identify and refer persons with mental health needs for appropriate social support and healthcare interventions. Previously, Government agencies would intervene after a hoarding situation breaches public health, safety or other regulations. With NEAT, Government agencies, medical professionals and other frontliners work even more closely upstream to identify at-risk cases, strengthen case coordination and intervene in a more timely, holistic and sustainable manner. For example, the Housing Development Board, grassroots leaders and social service agencies can refer at-risk residents to their local Community Intervention Teams, AIC and, if necessary, IMH, for mental health assessments and psychosocial intervention. In parallel, community and volunteer groups can help declutter hoarded units and befriend hoarders and their families, to better support them.",Social & Family Policy,MEDIUM,Healthcare
D130,Data on Mental Health History of Arrested Drug Abusers and Breakdown of First-time Drug Abusers with Prior Diagnosis of Mental Health Disorders since 2021,"asked the Coordinating Minister for National Security and Minister for Home Affairs (a) whether the Central Narcotics Bureau (CNB) collects data on the mental health history of drug abusers arrested; and (b) in each year since 2021, what proportion of first-time drug abusers arrested had a prior diagnosis of mental health disorders, including depression, major depressive disorder, bipolar disorder, anxiety disorder, psychosis, schizophrenia and clinical insomnia.","The Central Narcotics Bureau does not collect data on the mental health history of arrested drug abusers. The Singapore Prison Service assesses all inmates admitted to prison and the Drug Rehabilitation Centre (DRC), including first-time drug abusers, on the state of their physical and mental health. As part of the screening process, the Prison Medical Officer will refer to the National Electronic Health Record System to check the inmate's pre-existing health conditions, including mental health conditions. The inmate is also required to complete a screening questionnaire, for the Prison Medical Officer to gather information on his past medical history and mental well-being. As at end-December 2024, about 10% of the total inmate population, which includes inmates in the DRC, were diagnosed with some form of mental health condition.",Defence & Home Affairs,MEDIUM,Healthcare
D134,Piloting Installation of Fire-rated Outdoor Charging Cabinets within Communal Facilities for PMDs,"asked the Minister for National Development given the rising incidence of Personal Mobility Device battery fires in residential settings, whether the Government will consider piloting fire-rated outdoor charging cabinets in HDB void decks or multi-storey carparks, similar to facilities deployed in New York City and Taiwan, with subsidised electricity rates to incentivise residents to charge devices in these safer communal facilities.","Agencies, such as the Land Transport Authority (LTA), Singapore Civil Defence Force and Housing and Development Board (HDB), work closely to monitor Active Mobility Device (AMD) ownership, charging and usage patterns in Singapore. We also study new operating models and regulatory developments on AMD charging and parking in other jurisdictions. As different jurisdictions have different contexts and circumstances, we should carefully assess if the overseas practices are applicable here in Singapore. Taking the example of AMD charging facilities in public areas, there will be trade-offs for residents, such as having less space for other uses in HDB multi-storey car parks and void decks. The key factor to improving safety is to prevent AMD-related fires in the first place, instead of where the device is charged. It is more effective to ensure AMDs in Singapore meet prescribed technical and safety requirements. If the devices are non-compliant, shifting the charging and parking to public areas would still lead to fire incidents that pose safety risks to residents. AMD users should only purchase compliant devices, refrain from modifying their devices and adopt safe-charging practices. This is the main safeguard against fire risks from AMDs. The Ministry of Transport and LTA thus take a strict enforcement approach towards the import, sale and use of non-compliant AMDs and are looking to strengthen regulations on the online sale of AMDs later this year.",Other / Cross-cutting,LOW,Housing & Property
D142,Sufficiency of Public Sports Facilities for Kolam Ayer and Jalan Besar Residents Following Closure of Nearby Sports Centres,"asked the Acting Minister for Culture, Community and Youth how will Sport Singapore ensure sufficient capacity of affordable public sports facilities accessible to Kolam Ayer and Jalan Besar residents, following the closure of Kallang Basin Swimming Complex and St Wilfred Sport Centre.","Sport Singapore is committed to providing affordable access to sports facilities for Singaporeans. The closures of Kallang Basin ActiveSG Swimming Complex and St Wilfred ActiveSG Sport Centre will enable public housing plans to be considered at these sites. This is part of the Government's ongoing efforts to address the strong and broad-based demand for housing in recent years. At the same time, the community in Kolam Ayer and Jalan Besar can look forward to new sports facilities in the vicinity, including a new Sport-in-Precinct (SIP) facility in Kolam Ayer and a new SIP facility in Whampoa, set for completion by the end of this year. Residents will also be able to maintain their active lifestyles at nearby existing facilities, namely: ActiveSG Swimming Complexes at Serangoon, Geylang East, and Jalan Besar; squash and tennis courts at Kallang ActiveSG Squash Centre, Burghley ActiveSG Squash and Tennis Centre and Kallang Tennis Centre; an indoor sports hall and free-to-play field at Bendemeer Primary School under the Dual-Use Scheme; and a football field at Bendemeer Secondary School under the Dual-Use Scheme. We encourage residents in Kolam Ayer and Jalan Besar to continue to stay active and live healthy by using these new and existing sports facilities.",Housing & Property,HIGH,Other / Cross-cutting
D143,Use of AI Chatbots for Counselling and Mental Health Support by Teenagers and Young Adults,asked the Coordinating Minister for Social Policies and Minister for Health in view of the increasing use of artificial intelligence (AI) chatbots for counselling and mental health support by teenagers and young adults (a) how the Ministry is monitoring this trend; (b) what measures are in place to guide users towards qualified mental health services where appropriate; and (c) what safeguards are being considered to protect vulnerable users.,"Sir, artificial intelligence (AI) chatbots have become so ubiquitous now that it is no longer practical to track its use for counselling or mental health support. In general, it is not appropriate to use generative AI (GenAI) chatbots as a replacement for a qualified mental health care provider. AI chatbots are not designed to address mental health issues or provide treatment for mental health conditions and risk providing misinformation or inappropriate responses when dealing with serious mental health crises, and may cause harm instead. But fundamentally, young people and many patients with mental health issues sometimes seek out these online chatbots because of the anonymity it offers and also because it is easily available and accessible, 24/7. Our approach is to encourage individuals seeking qualified mental health services to approach our First Stop for Mental Health services such as national mindline 1771, mindline.sg, Community Outreach Teams and CHAT. We put forth these resources so that they become the legitimate alternatives that those seeking the same advantages of anonymity and easy accessibility can now go to a legitimate source to get the same kind of services for which we know is legitimate, and they can get proper referrals onwards as well, to the care that they need beyond CHAT. These resources which we put online are also more contextualised to our local needs. I believe there is a distinct advantage. But what we need to do is to do a lot more education, and make these resources be more available and make awareness for these resources be elevated amongst the public so that they go to these legitimate resources, rather than rely on the online chatbots that they can find. While enforcement is not practical, there are safeguards in place to protect younger users online. Under the Code of Practice for Online Safety – App Distribution Services, users’ exposure to harmful content on these services must be minimised. Designated app stores are also required to implement age assurance measures by 31 March this year. Digital content developers are also expected to comply with the Model AI Governance Framework for Generative AI to ensure responsible development and application of AI for youths and children. Additionally, the Infocomm Media Development Authority's (IMDA's) Digital Skills for Life framework includes content on how to use GenAI and manage its potential risks. Individuals can learn at their own pace through the available resources.",Digital Economy & Tech,MEDIUM,Healthcare
